Dates,State,Consumption_MU
2020-04-01,Andhra Pradesh,163.7
2020-04-02,Andhra Pradesh,165.8
2020-04-03,Andhra Pradesh,165.2
2020-04-04,Andhra Pradesh,163.2
2020-04-05,Andhra Pradesh,162.0
2020-04-06,Andhra Pradesh,164.1
2020-04-07,Andhra Pradesh,160.3
2020-04-08,Andhra Pradesh,155.6
2020-04-09,Andhra Pradesh,130.6
2020-04-10,Andhra Pradesh,139.7
2020-04-11,Andhra Pradesh,148.7
2020-04-12,Andhra Pradesh,154.9
2020-04-13,Andhra Pradesh,158.7
2020-04-14,Andhra Pradesh,160.9
2020-04-15,Andhra Pradesh,163.0
2020-04-16,Andhra Pradesh,165.0
2020-04-17,Andhra Pradesh,166.6
2020-04-18,Andhra Pradesh,171.0
2020-04-19,Andhra Pradesh,168.7
2020-04-20,Andhra Pradesh,170.6
2020-04-21,Andhra Pradesh,169.3
2020-04-22,Andhra Pradesh,170.1
2020-04-23,Andhra Pradesh,170.5
2020-04-24,Andhra Pradesh,169.4
2020-04-25,Andhra Pradesh,159.1
2020-04-26,Andhra Pradesh,148.6
2020-04-27,Andhra Pradesh,150.9
2020-04-28,Andhra Pradesh,155.8
2020-04-29,Andhra Pradesh,142.2
2020-04-30,Andhra Pradesh,151.3
2020-05-01,Andhra Pradesh,151.8
2020-05-02,Andhra Pradesh,157.9
2020-05-03,Andhra Pradesh,163.9
2020-05-04,Andhra Pradesh,167.5
2020-05-05,Andhra Pradesh,170.6
2020-05-06,Andhra Pradesh,171.9
2020-05-07,Andhra Pradesh,171.7
2020-05-08,Andhra Pradesh,174.8
2020-05-09,Andhra Pradesh,177.3
2020-05-10,Andhra Pradesh,175.6
2020-05-11,Andhra Pradesh,180.6
2020-05-12,Andhra Pradesh,178.7
2020-05-13,Andhra Pradesh,180.5
2020-05-14,Andhra Pradesh,174.5
2020-05-15,Andhra Pradesh,181.9
2020-05-16,Andhra Pradesh,185.5
2020-05-17,Andhra Pradesh,177.6
2020-05-18,Andhra Pradesh,174.1
2020-05-19,Andhra Pradesh,164.7
2020-05-20,Andhra Pradesh,175.5
2020-05-21,Andhra Pradesh,186.9
2020-05-22,Andhra Pradesh,192.3
2020-05-23,Andhra Pradesh,195.9
2020-05-24,Andhra Pradesh,194.0
2020-05-25,Andhra Pradesh,191.6
2020-05-26,Andhra Pradesh,193.5
2020-05-27,Andhra Pradesh,194.8
2020-05-28,Andhra Pradesh,195.4
2020-05-29,Andhra Pradesh,193.3
2020-05-30,Andhra Pradesh,186.4
2020-05-31,Andhra Pradesh,184.1
2020-06-01,Andhra Pradesh,178.2
2020-06-02,Andhra Pradesh,172.0
2020-06-03,Andhra Pradesh,175.3
2020-06-04,Andhra Pradesh,174.3
2020-06-05,Andhra Pradesh,181.6
